Time_Index,MA_Diesel,MA_Biodiesel,MA_Methanol,MA_Hydrogen,MA_Ammonia,MA_Primary_Al_Air,MA_Electricity,None
326,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
327,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
328,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
329,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
330,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
331,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
332,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
333,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
334,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
335,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
336,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
337,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
338,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
339,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
340,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
341,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
342,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
343,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
344,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
